,date,state,fips,cases,deaths,month
1108,2020-03-22,South Dakota,46,21,1,3
1130,2020-03-23,Guam,66,29,1,3
1109,2020-03-22,Tennessee,47,424,2,3
1164,2020-03-23,Texas,48,728,7,3
1162,2020-03-23,South Dakota,46,28,1,3
1183,2020-03-24,Georgia,13,1095,38,3
1161,2020-03-23,South Carolina,45,299,5,3
1160,2020-03-23,Rhode Island,44,106,0,3
1159,2020-03-23,Puerto Rico,72,31,2,3
1158,2020-03-23,Pennsylvania,42,644,6,3
1157,2020-03-23,Oregon,41,191,5,3
1156,2020-03-23,Oklahoma,40,81,2,3
1155,2020-03-23,Ohio,39,444,6,3
1154,2020-03-23,North Dakota,38,32,0,3
1153,2020-03-23,North Carolina,37,302,0,3
1152,2020-03-23,New York,36,20899,183,3
1151,2020-03-23,New Mexico,35,83,0,3
1150,2020-03-23,New Jersey,34,2844,27,3
1149,2020-03-23,New Hampshire,33,101,1,3
1163,2020-03-23,Tennessee,47,522,2,3
1165,2020-03-23,Utah,49,257,1,3
1110,2020-03-22,Texas,48,639,7,3
1167,2020-03-23,Virgin Islands,78,17,0,3
1182,2020-03-24,Florida,12,1467,20,3
1181,2020-03-24,District of Columbia,11,137,2,3
1180,2020-03-24,Delaware,10,104,0,3
1179,2020-03-24,Connecticut,9,618,12,3
1178,2020-03-24,Colorado,8,912,11,3
1177,2020-03-24,California,6,2644,52,3
1176,2020-03-24,Arkansas,5,231,2,3
1175,2020-03-24,Arizona,4,326,6,3
1174,2020-03-24,Alaska,2,42,0,3
1173,2020-03-24,Alabama,1,242,0,3
1172,2020-03-23,Wyoming,56,28,0,3
1171,2020-03-23,Wisconsin,55,418,5,3
1170,2020-03-23,West Virginia,54,16,0,3
1169,2020-03-23,Washington,53,2101,110,3
1168,2020-03-23,Virginia,51,254,6,3
1148,2020-03-23,Nevada,32,265,4,3
1147,2020-03-23,Nebraska,31,73,0,3
1146,2020-03-23,Montana,30,45,0,3
1145,2020-03-23,Missouri,29,183,4,3
1125,2020-03-23,Connecticut,9,415,10,3
1124,2020-03-23,Colorado,8,721,10,3
1123,2020-03-23,California,6,2240,39,3
1122,2020-03-23,Arkansas,5,201,0,3
1121,2020-03-23,Arizona,4,234,2,3
1120,2020-03-23,Alaska,2,36,0,3
1119,2020-03-23,Alabama,1,196,0,3
1118,2020-03-22,Wyoming,56,26,0,3
1117,2020-03-22,Wisconsin,55,382,4,3
1116,2020-03-22,West Virginia,54,16,0,3
1115,2020-03-22,Washington,53,1844,97,3
1114,2020-03-22,Virginia,51,219,6,3
1113,2020-03-22,Virgin Islands,78,17,0,3
1112,2020-03-22,Vermont,50,52,2,3
1111,2020-03-22,Utah,49,182,1,3
1126,2020-03-23,Delaware,10,87,0,3
1127,2020-03-23,District of Columbia,11,116,2,3
1128,2020-03-23,Florida,12,1222,18,3
1138,2020-03-23,Louisiana,22,1172,34,3
1144,2020-03-23,Mississippi,28,249,1,3
1143,2020-03-23,Minnesota,27,235,1,3
1142,2020-03-23,Michigan,26,1324,16,3
1141,2020-03-23,Massachusetts,25,777,9,3
1140,2020-03-23,Maryland,24,290,3,3
1139,2020-03-23,Maine,23,107,0,3
1137,2020-03-23,Kentucky,21,124,3,3
1129,2020-03-23,Georgia,13,800,25,3
1136,2020-03-23,Kansas,20,82,2,3
1135,2020-03-23,Iowa,19,105,0,3
1134,2020-03-23,Indiana,18,264,12,3
1133,2020-03-23,Illinois,17,1285,12,3
1132,2020-03-23,Idaho,16,50,0,3
1131,2020-03-23,Hawaii,15,77,0,3
1166,2020-03-23,Vermont,50,75,2,3
1035,2020-03-21,Minnesota,27,138,1,3
1107,2020-03-22,South Carolina,45,194,3,3
1042,2020-03-21,New Jersey,34,1336,16,3
1011,2020-03-21,Alabama,1,131,0,3
1012,2020-03-21,Alaska,2,21,0,3
1013,2020-03-21,Arizona,4,104,1,3
1014,2020-03-21,Arkansas,5,118,0,3
1015,2020-03-21,California,6,1544,28,3
1016,2020-03-21,Colorado,8,475,6,3
1017,2020-03-21,Connecticut,9,223,5,3
1018,2020-03-21,Delaware,10,45,0,3
1019,2020-03-21,District of Columbia,11,77,1,3
1020,2020-03-21,Florida,12,764,11,3
1021,2020-03-21,Georgia,13,552,20,3
1022,2020-03-21,Guam,66,15,0,3
1023,2020-03-21,Hawaii,15,48,0,3
1024,2020-03-21,Idaho,16,42,0,3
1025,2020-03-21,Illinois,17,751,6,3
1026,2020-03-21,Indiana,18,128,6,3
1027,2020-03-21,Iowa,19,68,0,3
1028,2020-03-21,Kansas,20,57,2,3
1029,2020-03-21,Kentucky,21,84,3,3
1030,2020-03-21,Louisiana,22,763,16,3
1031,2020-03-21,Maine,23,70,0,3
1032,2020-03-21,Maryland,24,195,3,3
1033,2020-03-21,Massachusetts,25,525,2,3
1034,2020-03-21,Michigan,26,787,6,3
1036,2020-03-21,Mississippi,28,140,1,3
1037,2020-03-21,Missouri,29,93,3,3
1038,2020-03-21,Montana,30,29,0,3
1039,2020-03-21,Nebraska,31,61,0,3
1040,2020-03-21,Nevada,32,165,2,3
1010,2020-03-20,Wyoming,56,22,0,3
1009,2020-03-20,Wisconsin,55,216,3,3
1008,2020-03-20,West Virginia,54,8,0,3
992,2020-03-20,North Dakota,38,27,0,3
1185,2020-03-24,Hawaii,15,90,0,3
980,2020-03-20,Michigan,26,548,4,3
981,2020-03-20,Minnesota,27,115,0,3
982,2020-03-20,Mississippi,28,80,1,3
983,2020-03-20,Missouri,29,73,3,3
984,2020-03-20,Montana,30,19,0,3
985,2020-03-20,Nebraska,31,53,0,3
986,2020-03-20,Nevada,32,165,2,3
987,2020-03-20,New Hampshire,33,55,0,3
988,2020-03-20,New Jersey,34,896,11,3
989,2020-03-20,New Mexico,35,43,0,3
990,2020-03-20,New York,36,7113,68,3
991,2020-03-20,North Carolina,37,144,0,3
993,2020-03-20,Ohio,39,169,1,3
1007,2020-03-20,Washington,53,1404,83,3
994,2020-03-20,Oklahoma,40,49,1,3
995,2020-03-20,Oregon,41,114,3,3
996,2020-03-20,Pennsylvania,42,269,1,3
997,2020-03-20,Puerto Rico,72,14,0,3
998,2020-03-20,Rhode Island,44,44,0,3
999,2020-03-20,South Carolina,45,126,3,3
1000,2020-03-20,South Dakota,46,14,1,3
1001,2020-03-20,Tennessee,47,237,0,3
1002,2020-03-20,Texas,48,386,5,3
1003,2020-03-20,Utah,49,112,0,3
1004,2020-03-20,Vermont,50,29,2,3
1005,2020-03-20,Virgin Islands,78,6,0,3
1006,2020-03-20,Virginia,51,115,2,3
1041,2020-03-21,New Hampshire,33,65,0,3
1043,2020-03-21,New Mexico,35,57,0,3
1106,2020-03-22,Rhode Island,44,83,0,3
1044,2020-03-21,New York,36,10371,95,3
1077,2020-03-22,Hawaii,15,56,0,3
1078,2020-03-22,Idaho,16,47,0,3
1079,2020-03-22,Illinois,17,1047,9,3
1080,2020-03-22,Indiana,18,204,9,3
1081,2020-03-22,Iowa,19,90,0,3
1082,2020-03-22,Kansas,20,66,2,3
1083,2020-03-22,Kentucky,21,103,3,3
1084,2020-03-22,Louisiana,22,837,20,3
1085,2020-03-22,Maine,23,89,0,3
1086,2020-03-22,Maryland,24,245,3,3
1087,2020-03-22,Massachusetts,25,646,5,3
1088,2020-03-22,Michigan,26,1033,9,3
1089,2020-03-22,Minnesota,27,171,1,3
1090,2020-03-22,Mississippi,28,207,1,3
1091,2020-03-22,Missouri,29,130,3,3
1092,2020-03-22,Montana,30,34,0,3
1093,2020-03-22,Nebraska,31,62,0,3
1094,2020-03-22,Nevada,32,190,2,3
1095,2020-03-22,New Hampshire,33,78,0,3
1096,2020-03-22,New Jersey,34,1914,20,3
1097,2020-03-22,New Mexico,35,65,0,3
1098,2020-03-22,New York,36,15188,142,3
1099,2020-03-22,North Carolina,37,269,0,3
1100,2020-03-22,North Dakota,38,30,0,3
1101,2020-03-22,Ohio,39,351,3,3
1102,2020-03-22,Oklahoma,40,67,2,3
1103,2020-03-22,Oregon,41,161,5,3
1104,2020-03-22,Pennsylvania,42,504,3,3
1105,2020-03-22,Puerto Rico,72,23,1,3
1076,2020-03-22,Guam,66,27,1,3
1075,2020-03-22,Georgia,13,620,25,3
1074,2020-03-22,Florida,12,1000,13,3
1058,2020-03-21,Vermont,50,49,2,3
1045,2020-03-21,North Carolina,37,184,0,3
1046,2020-03-21,North Dakota,38,28,0,3
1047,2020-03-21,Ohio,39,247,3,3
1048,2020-03-21,Oklahoma,40,53,1,3
1049,2020-03-21,Oregon,41,137,4,3
1050,2020-03-21,Pennsylvania,42,388,2,3
1051,2020-03-21,Puerto Rico,72,21,1,3
1052,2020-03-21,Rhode Island,44,66,0,3
1053,2020-03-21,South Carolina,45,172,3,3
1054,2020-03-21,South Dakota,46,14,1,3
1055,2020-03-21,Tennessee,47,312,2,3
1056,2020-03-21,Texas,48,547,5,3
1057,2020-03-21,Utah,49,138,0,3
1059,2020-03-21,Virgin Islands,78,6,0,3
1073,2020-03-22,District of Columbia,11,98,1,3
1060,2020-03-21,Virginia,51,152,3,3
1061,2020-03-21,Washington,53,1655,95,3
1062,2020-03-21,West Virginia,54,12,0,3
1063,2020-03-21,Wisconsin,55,281,4,3
1064,2020-03-21,Wyoming,56,24,0,3
1065,2020-03-22,Alabama,1,157,0,3
1066,2020-03-22,Alaska,2,22,0,3
1067,2020-03-22,Arizona,4,153,2,3
1068,2020-03-22,Arkansas,5,165,0,3
1069,2020-03-22,California,6,1851,35,3
1070,2020-03-22,Colorado,8,591,7,3
1071,2020-03-22,Connecticut,9,327,8,3
1072,2020-03-22,Delaware,10,56,0,3
1184,2020-03-24,Guam,66,32,1,3
1355,2020-03-27,Maine,23,168,1,3
1186,2020-03-24,Idaho,16,73,0,3
1327,2020-03-26,Utah,49,402,1,3
1317,2020-03-26,Ohio,39,867,15,3
1318,2020-03-26,Oklahoma,40,248,7,3
1319,2020-03-26,Oregon,41,316,11,3
1320,2020-03-26,Pennsylvania,42,1690,16,3
1321,2020-03-26,Puerto Rico,72,64,2,3
1322,2020-03-26,Rhode Island,44,165,0,3
1323,2020-03-26,South Carolina,45,456,9,3
1324,2020-03-26,South Dakota,46,46,1,3
1325,2020-03-26,Tennessee,47,981,3,3
1326,2020-03-26,Texas,48,1542,21,3
1328,2020-03-26,Vermont,50,158,9,3
1315,2020-03-26,North Carolina,37,639,2,3
1329,2020-03-26,Virgin Islands,78,17,0,3
1330,2020-03-26,Virginia,51,603,14,3
1331,2020-03-26,Washington,53,3208,152,3
1332,2020-03-26,West Virginia,54,76,0,3
1333,2020-03-26,Wisconsin,55,754,10,3
1334,2020-03-26,Wyoming,56,56,0,3
1335,2020-03-27,Alabama,1,639,4,3
1336,2020-03-27,Alaska,2,85,1,3
1337,2020-03-27,Arizona,4,665,15,3
1338,2020-03-27,Arkansas,5,385,3,3
1316,2020-03-26,North Dakota,38,58,0,3
1314,2020-03-26,New York,36,39058,502,3
1340,2020-03-27,Colorado,8,1735,31,3
1301,2020-03-26,Maine,23,155,0,3
1291,2020-03-26,Georgia,13,1641,56,3
1292,2020-03-26,Guam,66,49,1,3
1293,2020-03-26,Hawaii,15,106,0,3
1294,2020-03-26,Idaho,16,189,3,3
1295,2020-03-26,Illinois,17,2538,26,3
1296,2020-03-26,Indiana,18,661,23,3
1297,2020-03-26,Iowa,19,179,1,3
1298,2020-03-26,Kansas,20,173,3,3
1299,2020-03-26,Kentucky,21,248,5,3
1300,2020-03-26,Louisiana,22,2305,83,3
1302,2020-03-26,Maryland,24,581,4,3
1313,2020-03-26,New Mexico,35,136,1,3
1303,2020-03-26,Massachusetts,25,2417,25,3
1304,2020-03-26,Michigan,26,2877,63,3
1305,2020-03-26,Minnesota,27,346,2,3
1306,2020-03-26,Mississippi,28,486,6,3
1307,2020-03-26,Missouri,29,508,8,3
1308,2020-03-26,Montana,30,90,0,3
1309,2020-03-26,Nebraska,31,91,0,3
1310,2020-03-26,Nevada,32,535,10,3
1311,2020-03-26,New Hampshire,33,158,1,3
1312,2020-03-26,New Jersey,34,6876,82,3
1339,2020-03-27,California,6,4915,104,3
1341,2020-03-27,Connecticut,9,1291,27,3
1187,2020-03-24,Illinois,17,1535,16,3
1379,2020-03-27,Tennessee,47,1180,6,3
1369,2020-03-27,North Carolina,37,784,3,3
1370,2020-03-27,North Dakota,38,68,1,3
1371,2020-03-27,Ohio,39,1144,22,3
1372,2020-03-27,Oklahoma,40,322,8,3
1373,2020-03-27,Oregon,41,415,12,3
1374,2020-03-27,Pennsylvania,42,2217,23,3
1375,2020-03-27,Puerto Rico,72,79,3,3
1376,2020-03-27,Rhode Island,44,203,0,3
1377,2020-03-27,South Carolina,45,542,13,3
1378,2020-03-27,South Dakota,46,58,1,3
1380,2020-03-27,Texas,48,1971,25,3
1367,2020-03-27,New Mexico,35,191,1,3
1381,2020-03-27,Utah,49,480,2,3
1382,2020-03-27,Vermont,50,184,10,3
1383,2020-03-27,Virgin Islands,78,19,0,3
1384,2020-03-27,Virginia,51,605,14,3
1385,2020-03-27,Washington,53,3770,179,3
1386,2020-03-27,West Virginia,54,96,0,3
1387,2020-03-27,Wisconsin,55,930,16,3
1388,2020-03-27,Wyoming,56,74,0,3
1389,2020-03-28,Alabama,1,720,4,3
1390,2020-03-28,Alaska,2,102,1,3
1368,2020-03-27,New York,36,44746,645,3
1366,2020-03-27,New Jersey,34,8825,108,3
1342,2020-03-27,Delaware,10,165,2,3
1353,2020-03-27,Kentucky,21,302,8,3
1343,2020-03-27,District of Columbia,11,267,3,3
1344,2020-03-27,Florida,12,3198,46,3
1345,2020-03-27,Georgia,13,2198,64,3
1346,2020-03-27,Guam,66,53,1,3
1347,2020-03-27,Hawaii,15,120,0,3
1348,2020-03-27,Idaho,16,232,4,3
1349,2020-03-27,Illinois,17,3029,37,3
1350,2020-03-27,Indiana,18,992,32,3
1351,2020-03-27,Iowa,19,236,3,3
1352,2020-03-27,Kansas,20,213,4,3
1354,2020-03-27,Louisiana,22,2746,119,3
1365,2020-03-27,New Hampshire,33,187,2,3
978,2020-03-20,Maryland,24,150,2,3
1356,2020-03-27,Maryland,24,790,5,3
1357,2020-03-27,Massachusetts,25,3240,35,3
1358,2020-03-27,Michigan,26,3655,93,3
1359,2020-03-27,Minnesota,27,398,4,3
1360,2020-03-27,Mississippi,28,579,8,3
1361,2020-03-27,Missouri,29,670,9,3
1362,2020-03-27,Montana,30,121,1,3
1363,2020-03-27,Nebraska,31,102,2,3
1364,2020-03-27,Nevada,32,621,10,3
1290,2020-03-26,Florida,12,2478,29,3
1289,2020-03-26,District of Columbia,11,231,3,3
1288,2020-03-26,Delaware,10,143,1,3
1224,2020-03-24,West Virginia,54,39,0,3
1214,2020-03-24,Rhode Island,44,124,0,3
1215,2020-03-24,South Carolina,45,342,8,3
1216,2020-03-24,South Dakota,46,30,1,3
1217,2020-03-24,Tennessee,47,678,2,3
1218,2020-03-24,Texas,48,857,11,3
1219,2020-03-24,Utah,49,299,1,3
1220,2020-03-24,Vermont,50,95,7,3
1221,2020-03-24,Virgin Islands,78,17,0,3
1222,2020-03-24,Virginia,51,291,7,3
1223,2020-03-24,Washington,53,2469,123,3
1225,2020-03-24,Wisconsin,55,481,5,3
1212,2020-03-24,Pennsylvania,42,851,8,3
1226,2020-03-24,Wyoming,56,37,0,3
1227,2020-03-25,Alabama,1,386,1,3
1228,2020-03-25,Alaska,2,59,0,3
1229,2020-03-25,Arizona,4,402,6,3
1230,2020-03-25,Arkansas,5,307,2,3
1231,2020-03-25,California,6,3183,68,3
1232,2020-03-25,Colorado,8,1086,19,3
1233,2020-03-25,Connecticut,9,875,19,3
1234,2020-03-25,Delaware,10,119,0,3
1235,2020-03-25,District of Columbia,11,183,2,3
1213,2020-03-24,Puerto Rico,72,39,2,3
1211,2020-03-24,Oregon,41,209,8,3
1287,2020-03-26,Connecticut,9,1012,21,3
1198,2020-03-24,Mississippi,28,320,1,3
1188,2020-03-24,Indiana,18,371,17,3
1189,2020-03-24,Iowa,19,124,1,3
1190,2020-03-24,Kansas,20,102,3,3
1191,2020-03-24,Kentucky,21,157,3,3
1192,2020-03-24,Louisiana,22,1388,46,3
1193,2020-03-24,Maine,23,118,0,3
1194,2020-03-24,Maryland,24,349,4,3
1195,2020-03-24,Massachusetts,25,1159,11,3
1196,2020-03-24,Michigan,26,1791,24,3
1197,2020-03-24,Minnesota,27,264,1,3
1199,2020-03-24,Missouri,29,255,5,3
1210,2020-03-24,Oklahoma,40,106,3,3
1200,2020-03-24,Montana,30,51,0,3
1201,2020-03-24,Nebraska,31,77,0,3
1202,2020-03-24,Nevada,32,315,6,3
1203,2020-03-24,New Hampshire,33,108,1,3
1204,2020-03-24,New Jersey,34,3675,44,3
1205,2020-03-24,New Mexico,35,100,0,3
1206,2020-03-24,New York,36,25704,264,3
1207,2020-03-24,North Carolina,37,397,0,3
1208,2020-03-24,North Dakota,38,37,0,3
1209,2020-03-24,Ohio,39,564,8,3
1236,2020-03-25,Florida,12,1971,23,3
1237,2020-03-25,Georgia,13,1385,47,3
1238,2020-03-25,Guam,66,32,1,3
1275,2020-03-25,Virgin Islands,78,17,0,3
1265,2020-03-25,Oregon,41,266,10,3
1266,2020-03-25,Pennsylvania,42,1151,12,3
1267,2020-03-25,Puerto Rico,72,51,2,3
1268,2020-03-25,Rhode Island,44,132,0,3
1269,2020-03-25,South Carolina,45,425,8,3
1270,2020-03-25,South Dakota,46,41,1,3
1271,2020-03-25,Tennessee,47,806,3,3
1272,2020-03-25,Texas,48,1132,13,3
1273,2020-03-25,Utah,49,346,1,3
1274,2020-03-25,Vermont,50,123,8,3
1276,2020-03-25,Virginia,51,390,9,3
1239,2020-03-25,Hawaii,15,95,0,3
1277,2020-03-25,Washington,53,2585,130,3
1278,2020-03-25,West Virginia,54,51,0,3
1279,2020-03-25,Wisconsin,55,623,7,3
1280,2020-03-25,Wyoming,56,49,0,3
1281,2020-03-26,Alabama,1,538,3,3
1282,2020-03-26,Alaska,2,69,0,3
1283,2020-03-26,Arizona,4,508,8,3
1284,2020-03-26,Arkansas,5,350,3,3
1285,2020-03-26,California,6,4060,83,3
1286,2020-03-26,Colorado,8,1432,24,3
1264,2020-03-25,Oklahoma,40,164,5,3
1263,2020-03-25,Ohio,39,707,11,3
1262,2020-03-25,North Dakota,38,45,0,3
1261,2020-03-25,North Carolina,37,562,1,3
1240,2020-03-25,Idaho,16,123,0,3
1241,2020-03-25,Illinois,17,1874,21,3
1242,2020-03-25,Indiana,18,484,19,3
1243,2020-03-25,Iowa,19,147,1,3
1244,2020-03-25,Kansas,20,134,3,3
1245,2020-03-25,Kentucky,21,198,5,3
1246,2020-03-25,Louisiana,22,1795,65,3
1247,2020-03-25,Maine,23,142,0,3
1248,2020-03-25,Maryland,24,423,4,3
1249,2020-03-25,Massachusetts,25,1838,15,3
1250,2020-03-25,Michigan,26,2293,43,3
1251,2020-03-25,Minnesota,27,289,1,3
1252,2020-03-25,Mississippi,28,376,5,3
1253,2020-03-25,Missouri,29,384,8,3
1254,2020-03-25,Montana,30,65,0,3
1255,2020-03-25,Nebraska,31,84,0,3
1256,2020-03-25,Nevada,32,405,10,3
1257,2020-03-25,New Hampshire,33,137,1,3
1258,2020-03-25,New Jersey,34,4402,62,3
1259,2020-03-25,New Mexico,35,113,1,3
1260,2020-03-25,New York,36,33117,381,3
979,2020-03-20,Massachusetts,25,413,1,3
733,2020-03-15,Tennessee,47,39,0,3
977,2020-03-20,Maine,23,57,0,3
705,2020-03-15,Iowa,19,22,0,3
695,2020-03-15,Connecticut,9,26,0,3
696,2020-03-15,Delaware,10,7,0,3
697,2020-03-15,District of Columbia,11,17,0,3
698,2020-03-15,Florida,12,109,3,3
699,2020-03-15,Georgia,13,97,1,3
